title,movie_id
Maleficent(2014),tt1587310
Pirates of the Caribbean: On Stranger Tides(2011),tt1298650
Shrek Forever After(2010),tt0892791
Fast & Furious 6(2013),tt1905041
Brave(2012),tt1217209
Oz the Great and Powerful(2013),tt1623205
X-Men: The Last Stand(2006),tt0376994
War of the Worlds(2005),tt0407304
Fantastic Beasts and Where to Find Them(2016),tt3183660
X-Men: Days of Future Past(2014),tt1877832
Cast Away(2000),tt0162222
Doctor Strange(2016),tt1211837
The Lost World: Jurassic Park(1997),tt0119567
Star Trek Into Darkness(2013),tt1408101
The Martian(2015),tt3659388
Signs(2002),tt0286106
Hancock(2008),tt0448157
The Bourne Ultimatum(2007),tt0440963
Logan(2017),tt3315342
Rush Hour 2(2001),tt0266915
The Fate of the Furious(2017),tt4630562
WALL·E(2008),tt0910970
Big Hero 6(2014),tt2245084
Mission: Impossible - Fallout(2018),tt4912910
Alvin and the Chipmunks: The Squeakquel(2009),tt1231580
Ted(2012),tt1637725
King Kong(2005),tt0360717
How to Train Your Dragon(2010),tt0892769
The Da Vinci Code(2006),tt0382625
Alvin and the Chipmunks(2007),tt0952640
Saving Private Ryan(1998),tt0120815
Bohemian Rhapsody(2018),tt1727824
Madagascar 3: Europe's Most Wanted(2012),tt1277953
Kung Fu Panda(2008),tt0441773
Mission: Impossible II(2000),tt0120755
A Star Is Born(2018),tt1517451
X2: X-Men United(2003),tt0290334
The Lorax(2012),tt1482459
Solo: A Star Wars Story(2018),tt3778644
Venom(2018),tt1270797
Austin Powers in Goldmember(2002),tt0295178
It Chapter Two(2019),tt7349950
300(2006),tt0416449
Fast Five(2011),tt1596343
Mission: Impossible - Ghost Protocol(2011),tt1229238
Wedding Crashers(2005),tt0396269
Sherlock Holmes(2009),tt0988045
Dawn of the Planet of the Apes(2014),tt2103281
Batman Begins(2005),tt0372784
Charlie and the Chocolate Factory(2005),tt0367594
Ratatouille(2007),tt0382932
Thor: The Dark World(2013),tt1981115
Bad Boys for Life(2020),tt1502397
Austin Powers: The Spy Who Shagged Me(1999),tt0145660
Interstellar(2014),tt0816692
World War Z(2013),tt0816711
The Mummy Returns(2001),tt0209163
